address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,travel_time,study_time,class_failures,school_support,family_support,internet_access,health,absences,final_grade
Urban,Less than or equal to 3,Living together,secondary education,secondary education,services,health,<15 min.,2 to 5 hours,1,no,yes,yes,4,13,8
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,at_home,other,15 to 30 min.,<2 hours,0,no,yes,no,3,3,8
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,at_home,<15 min.,5 to 10 hours,0,no,yes,yes,4,4,10
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),at_home,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,2,6
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,5 to 10 hours,1,no,yes,no,5,0,0
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,services,teacher,<15 min.,2 to 5 hours,0,yes,no,yes,3,2,17
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,4,0,13
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,0,14
Rural,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,<15 min.,2 to 5 hours,1,no,no,yes,4,16,7
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,3,10,15
Urban,Less than or equal to 3,Living together,5th to 9th grade,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,3,2,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,>1 hour,2 to 5 hours,0,yes,yes,yes,3,14,9
Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,5 to 10 hours,0,no,no,yes,3,10,12
Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,<15 min.,2 to 5 hours,0,no,no,yes,3,14,14
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,4,11
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,yes,yes,yes,2,14,9
Urban,Greater than 3,Living together,higher education,higher education,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,2,13
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,18,6
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,at_home,other,15 to 30 min.,5 to 10 hours,0,no,no,yes,2,10,10
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,4,13
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,no,yes,5,20,12
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),at_home,services,30 min. to 1 hour,2 to 5 hours,0,no,no,no,3,2,11
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,services,<15 min.,2 to 5 hours,1,no,no,yes,2,0,0
Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,5,14,12
Rural,Less than or equal to 3,Apart,higher education,higher education,teacher,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,4,2,12
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,other,<15 min.,<2 hours,0,no,no,yes,3,0,0
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,<2 hours,0,no,no,yes,5,0,12
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,3,0,0
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,30 min. to 1 hour,<2 hours,0,no,no,yes,4,6,18
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,15 to 30 min.,<2 hours,0,no,no,yes,2,4,13
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,services,<15 min.,<2 hours,3,no,no,yes,1,16,8
Rural,Less than or equal to 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,1,no,yes,yes,5,8,5
Urban,Greater than 3,Living together,none,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,no,yes,5,0,15
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,other,15 to 30 min.,<2 hours,1,no,no,yes,5,0,8
Urban,Greater than 3,Living together,secondary education,secondary education,at_home,other,30 min. to 1 hour,2 to 5 hours,0,yes,yes,yes,2,6,10
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,services,<15 min.,<2 hours,1,no,no,yes,5,4,8
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,<2 hours,0,no,no,no,3,0,8
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,no,yes,5,0,12
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),health,other,15 to 30 min.,<2 hours,1,no,yes,yes,5,2,8
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,services,<15 min.,>10 hours,0,no,yes,yes,4,6,13
Urban,Less than or equal to 3,Apart,higher education,secondary education,services,at_home,<15 min.,2 to 5 hours,0,no,yes,yes,1,12,11
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,8,14
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,>10 hours,0,no,no,yes,2,0,0
Urban,Greater than 3,Living together,higher education,secondary education,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,2,21,18
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,2,8
Rural,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,5 to 10 hours,0,no,no,no,3,1,12
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,5 to 10 hours,0,no,no,no,4,4,9
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,services,<15 min.,5 to 10 hours,0,no,yes,yes,3,0,0
Rural,Less than or equal to 3,Apart,secondary education,higher education,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,13,17
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,<15 min.,2 to 5 hours,0,no,no,yes,5,2,10
Rural,Greater than 3,Living together,higher education,higher education,teacher,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,4,8,11
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,10,10
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,0,0
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,2,no,yes,yes,5,15,9
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,services,<15 min.,>10 hours,0,no,yes,yes,2,4,14
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,0,no,yes,no,3,2,11
Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,at_home,<15 min.,2 to 5 hours,0,no,yes,no,1,2,14
Urban,Greater than 3,Living together,5th to 9th grade,higher education,at_home,health,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,2,10
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,5,6,12
Rural,Greater than 3,Apart,secondary education,5th to 9th grade,other,services,15 to 30 min.,2 to 5 hours,0,no,no,yes,5,75,9
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,15 to 30 min.,<2 hours,0,no,no,yes,3,22,9
Urban,Greater than 3,Living together,higher education,higher education,health,health,<15 min.,2 to 5 hours,1,yes,yes,yes,4,15,8
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,15 to 30 min.,<2 hours,0,no,no,yes,1,8,10
Urban,Less than or equal to 3,Apart,higher education,primary education (4th grade),services,other,15 to 30 min.,<2 hours,0,no,no,yes,5,30,8
Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,teacher,services,<15 min.,<2 hours,1,no,no,yes,3,19,10
Rural,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,15 to 30 min.,>10 hours,0,no,yes,no,3,1,12
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,0,yes,no,yes,4,4,10
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,4,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,2,11
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,at_home,<15 min.,5 to 10 hours,0,no,yes,yes,2,5,19
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,teacher,<15 min.,5 to 10 hours,0,no,yes,yes,3,6,12
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,services,<15 min.,5 to 10 hours,0,no,no,yes,2,6,14
Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,2,9,15
Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,11,11
Urban,Greater than 3,Living together,higher education,secondary education,health,services,<15 min.,5 to 10 hours,0,no,yes,yes,3,0,15
Urban,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),services,at_home,<15 min.,2 to 5 hours,1,no,no,yes,5,12,13
Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),services,other,15 to 30 min.,>10 hours,0,no,yes,no,3,6,18
Rural,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,4,8,14
Urban,Greater than 3,Living together,secondary education,secondary education,health,other,<15 min.,<2 hours,0,no,yes,yes,5,4,11
Urban,Greater than 3,Living together,higher education,higher education,health,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,2,0,0
Urban,Less than or equal to 3,Living together,higher education,secondary education,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,2,10,8
Urban,Greater than 3,Living together,higher education,secondary education,other,other,<15 min.,>10 hours,0,no,yes,yes,3,0,14
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,teacher,<15 min.,<2 hours,0,no,yes,yes,1,5,16
Urban,Less than or equal to 3,Apart,higher education,higher education,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,4,14,11
Urban,Less than or equal to 3,Living together,higher education,higher education,other,teacher,15 to 30 min.,<2 hours,0,no,no,yes,5,0,10
Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,3,0,14
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,health,health,<15 min.,>10 hours,0,no,yes,yes,5,0,18
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,1,no,yes,yes,3,20,13
Urban,Greater than 3,Living together,5th to 9th grade,higher education,services,at_home,<15 min.,2 to 5 hours,1,no,yes,yes,3,8,12
Urban,Greater than 3,Apart,secondary education,5th to 9th grade,services,other,<15 min.,<2 hours,0,no,no,no,5,0,18
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,15 to 30 min.,<2 hours,1,no,yes,yes,4,38,8
Rural,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,1,no,no,no,5,0,12
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,1,yes,yes,yes,3,18,10
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,services,services,<15 min.,2 to 5 hours,1,no,no,no,3,0,0
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,2,20,13
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,other,services,<15 min.,2 to 5 hours,1,no,no,yes,4,3,11
Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,1,no,yes,yes,1,22,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,health,<15 min.,5 to 10 hours,2,no,no,yes,3,14,13
Rural,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,<15 min.,5 to 10 hours,1,no,no,yes,3,40,11
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,0,0
Urban,Greater than 3,Living together,higher education,secondary education,other,other,<15 min.,5 to 10 hours,0,no,yes,yes,5,9,9
Rural,Greater than 3,Living together,secondary education,higher education,at_home,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,0,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,2,11
Urban,Greater than 3,Apart,higher education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,5,23,13
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,no,3,12,9
Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,5 to 10 hours,0,no,yes,yes,3,3,11
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,1,15
Urban,Less than or equal to 3,Living together,none,5th to 9th grade,at_home,at_home,15 to 30 min.,5 to 10 hours,0,no,no,yes,2,0,15
Urban,Greater than 3,Living together,higher education,higher education,other,other,<15 min.,5 to 10 hours,0,no,no,yes,3,3,11
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,<2 hours,0,no,no,yes,5,3,16
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,>1 hour,<2 hours,0,no,yes,yes,4,8,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,4,7,9
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,15 to 30 min.,5 to 10 hours,0,no,yes,yes,4,4,14
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,>10 hours,0,no,yes,yes,5,2,8
Rural,Greater than 3,Living together,5th to 9th grade,higher education,at_home,other,<15 min.,5 to 10 hours,0,no,yes,yes,5,7,14
Urban,Greater than 3,Living together,secondary education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,no,yes,4,0,0
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,2,0,0
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,15 to 30 min.,>10 hours,0,no,no,no,4,0,0
Urban,Greater than 3,Living together,secondary education,higher education,services,other,<15 min.,5 to 10 hours,0,no,no,yes,5,16,15
Rural,Greater than 3,Apart,secondary education,primary education (4th grade),services,at_home,<15 min.,5 to 10 hours,1,no,no,no,5,12,13
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,2,0,0
Urban,Less than or equal to 3,Living together,secondary education,secondary education,services,services,<15 min.,>10 hours,0,no,yes,yes,1,7,17
Rural,Greater than 3,Apart,secondary education,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,2,4,10
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,services,<15 min.,5 to 10 hours,1,no,no,yes,3,4,11
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,<15 min.,2 to 5 hours,1,no,yes,yes,2,0,0
Urban,Less than or equal to 3,Living together,secondary education,higher education,services,other,<15 min.,2 to 5 hours,0,no,no,yes,5,11,15
Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,at_home,at_home,<15 min.,2 to 5 hours,1,no,yes,yes,4,0,0
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,at_home,other,<15 min.,5 to 10 hours,0,no,yes,yes,3,4,10
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,services,<15 min.,5 to 10 hours,0,no,no,yes,1,7,14
Rural,Greater than 3,Living together,higher education,secondary education,teacher,services,<15 min.,5 to 10 hours,0,no,no,yes,4,9,16
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,5 to 10 hours,0,no,yes,yes,5,0,9
Urban,Greater than 3,Living together,higher education,secondary education,health,other,<15 min.,5 to 10 hours,0,no,yes,yes,4,0,15
Rural,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,15 to 30 min.,<2 hours,1,no,yes,yes,5,10,13
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,services,30 min. to 1 hour,2 to 5 hours,3,no,no,yes,2,8,8
Urban,Greater than 3,Living together,secondary education,secondary education,health,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,2,13
Urban,Less than or equal to 3,Living together,primary education (4th grade),secondary education,at_home,services,<15 min.,<2 hours,1,no,no,yes,3,7,8
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,30 min. to 1 hour,<2 hours,1,no,yes,yes,5,4,8
Rural,Greater than 3,Living together,higher education,secondary education,services,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,2,4,11
Urban,Greater than 3,Living together,secondary education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,no,5,0,9
Rural,Greater than 3,Living together,higher education,higher education,teacher,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,4,13
Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,0,no,no,no,5,2,11
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,services,15 to 30 min.,<2 hours,0,no,no,yes,3,4,10
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,services,15 to 30 min.,5 to 10 hours,0,no,no,yes,4,0,16
Rural,Less than or equal to 3,Apart,primary education (4th grade),higher education,at_home,other,30 min. to 1 hour,2 to 5 hours,0,no,no,no,5,0,13
Rural,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,15 to 30 min.,2 to 5 hours,1,no,no,no,5,2,12
Urban,Greater than 3,Living together,secondary education,secondary education,services,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,0,10
Urban,Less than or equal to 3,Living together,higher education,higher education,at_home,at_home,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,15
Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,other,services,15 to 30 min.,2 to 5 hours,0,no,no,no,3,0,12
Rural,Greater than 3,Living together,primary education (4th grade),secondary education,at_home,other,15 to 30 min.,2 to 5 hours,0,no,yes,no,3,4,10
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,services,15 to 30 min.,5 to 10 hours,0,no,no,yes,5,0,13
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,services,30 min. to 1 hour,<2 hours,1,no,yes,yes,1,0,0
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,at_home,services,15 to 30 min.,<2 hours,0,no,yes,yes,4,0,10
Rural,Greater than 3,Living together,higher education,higher education,other,teacher,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,5,10,11
Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,services,15 to 30 min.,2 to 5 hours,2,no,no,no,3,4,9
Rural,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,at_home,services,30 min. to 1 hour,<2 hours,0,no,yes,yes,3,3,12
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,<15 min.,5 to 10 hours,0,no,no,no,3,8,11
Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,other,other,<15 min.,<2 hours,0,no,no,yes,1,14,5
Rural,Less than or equal to 3,Living together,higher education,higher education,other,other,15 to 30 min.,5 to 10 hours,0,no,no,yes,1,0,19
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,>1 hour,5 to 10 hours,0,no,no,yes,4,2,10
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,other,15 to 30 min.,5 to 10 hours,2,no,yes,yes,3,4,15
Rural,Less than or equal to 3,Living together,higher education,higher education,teacher,services,<15 min.,2 to 5 hours,0,no,no,yes,2,4,10
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,no,yes,1,0,15
Rural,Greater than 3,Living together,secondary education,primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,17,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,no,yes,2,4,14
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,<2 hours,0,no,no,yes,5,5,7
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,services,15 to 30 min.,2 to 5 hours,0,no,no,yes,3,2,10
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,services,15 to 30 min.,<2 hours,1,no,no,no,5,0,0
Rural,Greater than 3,Living together,higher education,5th to 9th grade,other,other,15 to 30 min.,<2 hours,1,no,no,no,3,14,5
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,15 to 30 min.,5 to 10 hours,0,no,no,no,4,2,10
Rural,Greater than 3,Living together,higher education,higher education,teacher,at_home,30 min. to 1 hour,<2 hours,0,no,yes,yes,5,7,6
Rural,Greater than 3,Living together,5th to 9th grade,secondary education,services,other,<15 min.,5 to 10 hours,1,no,no,yes,5,0,0
Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),teacher,services,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,8
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,1,no,no,no,5,0,0
Urban,Less than or equal to 3,Apart,5th to 9th grade,5th to 9th grade,services,services,<15 min.,2 to 5 hours,2,no,yes,no,4,11,9
Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),services,services,15 to 30 min.,<2 hours,0,no,no,yes,2,3,16
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,<2 hours,3,no,no,no,3,3,7
Rural,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,30 min. to 1 hour,<2 hours,0,no,no,yes,5,0,10
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,at_home,<15 min.,<2 hours,0,no,no,yes,5,5,9
Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,15 to 30 min.,2 to 5 hours,0,yes,no,no,3,4,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,2,11
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,0,yes,no,yes,3,6,12
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,0,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,yes,no,5,0,13
Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,6,13
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,3,0,13
Urban,Greater than 3,Apart,higher education,higher education,other,teacher,15 to 30 min.,2 to 5 hours,0,yes,yes,no,1,2,13
Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,17
Urban,Greater than 3,Living together,secondary education,higher education,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,13
Urban,Greater than 3,Living together,higher education,higher education,teacher,health,<15 min.,2 to 5 hours,0,no,yes,yes,2,2,14
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,30 min. to 1 hour,5 to 10 hours,0,no,yes,yes,4,0,13
Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,<15 min.,<2 hours,0,no,yes,yes,5,0,12
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,0,13
Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,<15 min.,5 to 10 hours,0,no,yes,yes,3,0,15
Urban,Greater than 3,Living together,higher education,higher education,health,other,<15 min.,<2 hours,0,no,yes,yes,2,6,17
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,5 to 10 hours,0,no,yes,yes,2,10,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,4,2,14
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,<15 min.,<2 hours,3,no,yes,yes,5,2,7
Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,<15 min.,<2 hours,0,no,no,yes,5,6,12
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,no,yes,1,0,14
Urban,Greater than 3,Living together,higher education,higher education,health,health,<15 min.,<2 hours,0,no,yes,yes,5,0,12
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,2 to 5 hours,0,no,no,yes,5,0,14
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,2,10
Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,<15 min.,5 to 10 hours,0,yes,yes,yes,5,2,10
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,<2 hours,0,no,yes,yes,5,6,12
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,5,8,12
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,<15 min.,<2 hours,0,no,no,yes,1,0,11
Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,<15 min.,2 to 5 hours,0,yes,yes,yes,5,2,13
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,5,4,12
Urban,Greater than 3,Living together,higher education,higher education,health,services,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,11
Urban,Greater than 3,Living together,higher education,higher education,services,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,2,15
Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,15
Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,no,yes,2,0,12
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,5,4,12
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,15 to 30 min.,<2 hours,0,no,yes,no,5,4,11
